"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_ALERT","NOT AVAILABLE","NOT AVAILABLE","DOSTUPNÝ","NICHT VERFÜGBAR","НЕДОСТУПНО","NIEDOSTĘPNE","NEM ELÉRHETŐ","NON DISPONIBILE","NO DISPONIBLE","NON DISPONIBLE","暂时没有","利用できません","NÃO DISPONÍVEL","暂时没有"
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_TITLE1","LOADOUTS LIST","LOADOUTS LIST","SEZNAM SAD VYBAVENÍ","LISTE DER AUSRÜSTUNGSSETS","СПИСОК НАБОРОВ СНАРЯЖЕНИЯ","LISTA ZESTAWÓW WYPOSAŻENIA","A BERENDEZÉSKÉSZLETEK LISTÁJA","ELENCO DEI SET DI ATTREZZATURE","LISTA DE CONJUNTOS DE EQUIPOS","LISTE DES ENSEMBLES D'ÉQUIPEMENTS","设备组一览表","機器セットのリスト","LISTA DE CONJUNTOS DE EQUIPAMENTOS","设备组一览表"
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_TITLE2","SELECTED LOADOUT","SELECTED LOADOUT","VYBRANÉ ZATÍŽENÍ","AUSGEWÄHLTES LOADOUT","ВЫБРАННОЕ СНАРЯЖЕНИЕ","WYBRANE WYPOSAŻENIE","KIVÁLASZTOTT TERHELÉS","LOADOUT SELEZIONATO","EQUIPAMIENTO SELECCIONADO","CHARGEMENT SÉLECTIONNÉ","选定的装载量","選択したロードアウト","CARGA SELECCIONADA","选定的装载量"
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_TITLE3","OPTIONS LIST","OPTIONS LIST","SEZNAM MOŽNOSTÍ","OPTIONSLISTE","СПИСОК ОПЦИЙ","LISTA OPCJI","OPCIÓK LISTÁJA","ELENCO OPZIONI","LISTA DE OPCIONES","LISTE DES OPTIONS","选项列表","オプションリスト","LISTA DE OPÇÕES","选项列表"
"STR_TERJESTARTSCREEN_PAGE_SKILLS_TITLE","CHOOSE YOUR STARTING SKILLS","CHOOSE YOUR STARTING SKILLS","VYBERTE SI STARTOVACÍ DOVEDNOSTI","WÄHLEN SIE STARTFÄHIGKEITEN","ВЫБЕРИТЕ СТАРТОВЫЕ НАВЫКИ","WYBIERZ UMIEJĘTNOŚCI STARTOWE","VÁLASSZA KI A KEZDŐ KÉSZSÉGEKET","SCEGLI LE ABILITÀ INIZIALI","ELIJA HABILIDADES INICIALES","CHOISISSEZ VOS COMPÉTENCES DE DÉPART","选择你的起始技能","あなたの開始スキルを選択してください","ESCOLHA SUAS HABILIDADES INICIAIS","选择你的起始技能"
"STR_TERJESTARTSCREEN_PAGE_SKILLS_INFO","Points available:","Points available:","Dostupné body:","Verfügbare Punkte:","Доступные очки:","Punkty dostępne:","Elérhető pontok:","Punti disponibili:","Puntos disponibles:","Points disponibles:","可用积分:","利用可能なポイント:","Pontos disponíveis:","可用积分:"
"STR_TERJESTARTSCREEN_PAGE_MAP_ALERT","NOT AVAILABLE","NOT AVAILABLE","DOSTUPNÝ","NICHT VERFÜGBAR","НЕДОСТУПНО","NIEDOSTĘPNE","NEM ELÉRHETŐ","NON DISPONIBILE","NO DISPONIBLE","NON DISPONIBLE","暂时没有","利用できません","NÃO DISPONÍVEL","暂时没有"
"STR_TERJESTARTSCREEN_PAGE_MAP_TITLE","CHOOSE YOUR RESPAWN POINT","CHOOSE YOUR RESPAWN POINT","VYBERTE SI SVŮJ RESPAWN BOD","WÄHLE DEINEN RESPAWNPUNKT","ВЫБЕРИТЕ ТОЧКУ ВОЗРОЖДЕНИЯ","WYBIERZ SWÓJ PUNKT ODRODZENIA","VÁLASSZA KI A RESPAWN PONTOT","SCEGLI IL TUO RESPAWN POINT","ELIGE TU PUNTO DE REAPARICIÓN","CHOISISSEZ VOTRE POINT DE RÉAPPARITION","选择你的重生点","あなたのリスポーンポイントを選択してください","ESCOLHA O SEU PONTO DE RESPAWN","选择你的重生点"
"STR_TERJESTARTSCREEN_PAGE_MAP_TITLE1","RESPAWN POINTS","RESPAWN POINTS","RESPAWN BODY","RESPAWN-PUNKTE","ТОЧКИ ВОЗРОЖДЕНИЯ","PUNKTY ODRODZENIA","RESPAWN PONTOK","PUNTI DI RESPAWN","PUNTOS DE REAPARICIÓN","POINTS DE RÉAPPARITION","设备组一览表","リスポーンポイント","PONTOS DE REAPARECIMENTO","设备组一览表"
"STR_TERJESTARTSCREEN_SOUL_ADD","The number of character's souls has been increased to","The number of character's souls has been increased to","Počet duší postavy se zvýšil na","Die Anzahl der Seelen des Charakters wurde auf erhöht","Количество душ персонажа увеличено до","Liczba dusz postaci została zwiększona do","A karakter lelkének száma nőtt","Il numero di anime del personaggio è aumentato a","El número de almas del personaje ha aumentado a","Le nombre d'âmes du personnage a été augmenté à","角色的灵魂数量增加到","キャラクターの魂の数がに増加しました","Número de Almas do personagem aumentado para","角色的灵魂数量增加到"
"STR_TERJESTARTSCREEN_SOUL_REM","The number of character's souls has been reduced to","The number of character's souls has been reduced to","Počet duší se snížil na","Die Anzahl der Seelen des Charakters wurde auf verringert","Количество душ персонажа уменьшено до","Liczba dusz postaci została zmniejszona do","A karakter lelkeinek száma csökkent","Il numero di anime del personaggio è ridotto a","El número de almas del personaje se ha reducido a","Le nombre d'âmes du personnage est réduit à","角色的灵魂数量已经减少到","キャラクターの魂の数は次のように減少しました","Número de Almas do personagem reduzido para","角色的灵魂数量已经减少到"
"STR_TERJESTARTSCREEN_SOUL_TITLE","YOUR SOULS","YOUR SOULS","VAŠE DUŠE","EURE SEELEN","ВАШИ ДУШИ","WASZE DUSZE","LELKETEK","LE TUE ANIME","TUS ALMAS","VOS ÂMES","你的灵魂","あなたの魂","SUAS ALMAS","你的灵魂"
"STR_TERJESTARTSCREEN_OVERVIEW_TITLE","YOUR CHARACTER","YOUR CHARACTER","VAŠE POSTAVA","DEIN CHARAKTER","ВАШ ПЕРСОНАЖ","TWOJA POSTAĆ","A KARAKTERED","IL TUO PERSONAGGIO","TU PERSONAJE","VOTRE PERSONNAGE","你的性格","あなたのキャラクター","SEU PERSONAGEM","你的性格"
"STR_TERJESTARTSCREEN_OVERVIEW_DEL","DELETE YOUR CHARACTER (HOLD)","DELETE YOUR CHARACTER (HOLD)","ODSTRANIT SVOU POSTAVU (PODRŽTE)","ENTFERNEN SIE IHREN CHARAKTER (HALTEN)","УДАЛИТЬ ВАШЕГО ПЕРСОНАЖА (УДЕРЖИВАЙТЕ)","USUŃ SWOJĄ POSTAĆ (PRZYTRZYMAJ)","KARAKTER TÖRLÉSE (HOLD)","RIMUOVI IL TUO PERSONAGGIO (TIENI PREMUTO)","ELIMINAR A TU PERSONAJE (ESPERA)","SUPPRIMER VOTRE PERSONNAGE (MAINTENEZ)","删除你的角色（HOLD）","キャラクターを削除する（保留）","REMOVER SEU PERSONAGEM (SEGURE)","删除你的角色（HOLD）"
"STR_TERJESTARTSCREEN_SOUL_ZERO","Your character will be permanently deleted.","Your character will be permanently deleted.","Vaše postava bude navždy odstraněna.","Dein Charakter wird für immer gelöscht.","Ваш персонаж будет удален навсегда.","Twoja postać zostanie trwale usunięta.","A karaktered véglegesen törlődik.","Il tuo personaggio verrà eliminato definitivamente.","Tu personaje será eliminado para siempre.","Votre personnage sera supprimé pour toujours.","您的角色将被永久删除。","あなたのキャラクターは完全に削除されます。","Seu personagem será removido para sempre.","您的角色将被永久删除。"
"STR_TERJESTARTSCREEN_SETRESP_ACTION","Mark as respawn point","Mark as respawn point","Označit jako respawn point","Als Respawnpunkt markieren","Сделать точкой возрождения","Oznacz jako punkt odrodzenia","Jel, mint respawn pont","Segna come punto di respawn","Marcar como punto de reaparición","Marquer comme point de réapparition","标记为重生点","リスポーンポイントとしてマーク","Marcar como ponto de respawn","标记为重生点"
"STR_TERJESTARTSCREEN_SETRESP_TITLE","Respawn point","Respawn point","Respawn point","Respawnpunkt","Точка возрождения","Punkt odrodzenia","Respawn point","Punto di respawn","Punto de reaparición","Point de réapparition","重生点","リスポーンポイント","Ponto de Respawn","重生点"
"STR_TERJESTARTSCREEN_SETRESP_DESC","Respawn point successfully linked to this object.","Respawn point successfully linked to this object.","Na tomto objektu byl nastaven Respawn point.","Der Respawnpunkt wurde für dieses Objekt festgelegt.","Точка возрождения была установлена на этот объект.","Punkt odrodzenia został ustawiony na tym obiekcie.","Respawn pont lett beállítva ezen az objektumon.","Il punto di respawn è stato impostato su questo oggetto.","El punto de reaparición se ha establecido en este objeto.","Un point de réapparition a été défini sur cet objet.","在这个对象上设置了重生点.","このオブジェクトにリスポーンポイントが設定されています。","O ponto de Respawn foi definido neste objeto.","在这个对象上设置了重生点."
"STR_TERJESTARTSCREEN_SETRESP_FAIL","Respawn point is not linked to the object.","Respawn point is not linked to the object.","Respawn bod není spojen s objektem.","Der Respawnpunkt ist nicht mit dem Objekt verknüpft.","Точка возрождения не привязана к объекту.","Punkt odrodzenia nie jest powiązany z obiektem.","A Respawn pont nem kapcsolódik az objektumhoz.","Il punto di respawn non è collegato all'oggetto.","El punto de reaparición no está vinculado al objeto.","Le point de réapparition n'est pas lié à l'objet.","重生点不链接到对象。","リスポーンポイントはオブジェクトにリンクされていません。","O ponto de Respawn não está vinculado ao objeto.","重生点不链接到对象。"
"STR_TERJESTARTSCREEN_SETRESP_ERR","Respawn point cannot be linked to this object. Its already linked to another player or conditions for usage are not met.","Respawn point cannot be linked to this object. Its already linked to another player or conditions for usage are not met.","Respawn point nelze s tímto objektem propojit. Je již propojen s jiným hráčem nebo nejsou splněny podmínky pro použití.","Der Respawnpunkt kann nicht mit diesem Objekt verknüpft werden. Es ist bereits mit einem anderen Spieler verknüpft oder die Nutzungsbedingungen sind nicht erfüllt.","Точка возрождения не может быть привязана к этому объекту. Он уже привязан к другому игроку или не соблюдены условия его использования.","Punkt odrodzenia nie może być powiązany z tym obiektem. Jest już powiązany z innym graczem lub warunki użytkowania nie są spełnione.","A Respawn pont nem kapcsolható ehhez az objektumhoz. Már kapcsolódik egy másik játékoshoz, vagy a használati feltételek nem teljesülnek.","Il punto Respawn non può essere collegato a questo oggetto. È già collegato a un altro giocatore o le condizioni per l'utilizzo non sono soddisfatte.","El punto de reaparición no se puede vincular a este objeto. Ya está vinculado a otro reproductor o no se cumplen las condiciones de uso.","Le point de réapparition ne peut pas être lié à cet objet. Il est déjà lié à un autre joueur ou les conditions d'utilisation ne sont pas remplies.","重生点不能链接到此对象。 它已经链接到另一个玩家或使用条件不满足。","リスポーンポイントをこのオブジェクトにリンクすることはできません。 すでに他のプレイヤーにリンクされているか、使用条件が満たされていません。","O ponto de Respawn não pode ser vinculado a este objeto. Já está ligado a outro jogador ou não estão preenchidas as condições de Utilização.","重生点不能链接到此对象。 它已经链接到另一个玩家或使用条件不满足。"
"STR_TERJESTARTSCREEN_PAGE_RULES_TITLE","SERVER RULES","SERVER RULES","PRAVIDLA SERVERU","SERVERREGELN","ПРАВИЛА СЕРВЕРА","REGULAMIN SERWERA","SZERVER SZABÁLYOK","REGOLE DEL SERVER","REGLAS DEL SERVIDOR","RÈGLES DU SERVEUR","服务器规则","サーバールール","REGRAS DO SERVIDOR","服务器规则"
"STR_TERJESTARTSCREEN_RESP_DEATH1","Respawn point has not been found.","Respawn point has not been found.","Bod znovuzrození nebyl nalezen.","Es wurde kein Wiederbelebungspunkt gefunden.","Точка возрождения не найдена.","Nie znaleziono punktu odrodzenia.","A respawn pontot nem találták.","Punto di spawn non trovato.","Punto de renacimiento no encontrado.","Point de réapparition introuvable.","尚未找到重生点。","リスポーンポイントは見つかりませんでした。","Ponto de renascimento não encontrado.","尚未找到重生点。"
"STR_TERJESTARTSCREEN_RESP_DEATH2","Respawn possible only when your dead body exists.","Respawn possible only when your dead body exists.","Respawn možné pouze tehdy, když vaše mrtvé tělo existuje.","Respawn ist nur möglich, wenn dein toter Körper existiert.","Возрождение возможно только при наличии вашего мертвого тела.","Odrodzenie możliwe tylko wtedy, gdy istnieje Twoje martwe ciało.","Respawn csak akkor lehetséges, ha a holttest létezik.","Respawn possibile solo quando il vostro corpo morto esiste.","Reaparecer solo es posible cuando tu cadáver existe.","Réapparition possible uniquement lorsque votre cadavre existe.","只有当你的尸体存在时，才有可能重生。","あなたの死体が存在する場合にのみ可能なリスポーン。","Respawn possível apenas quando o seu cadáver existe.","只有当你的尸体存在时，才有可能重生。"
"STR_TERJESTARTSCREEN_PASSPORT_NAME","Passport","Passport","Pás","Pass","Паспорт","Paszport","Útlevél","Passaporto","Pasaporte","Passeport","护照","パスポート","Passaporte","护照"
"STR_TERJESTARTSCREEN_PASSPORT_DESC","An official document certifying the identity of the owner.","An official document certifying the identity of the owner.","Oficiální doklad totožnosti majitele.","Ein offizielles Dokument, das die Identität des Besitzers ausweist.","Официальный документ, удостоверяющий личность владельца.","Oficjalny dokument tożsamości właściciela.","A tulajdonos hivatalos azonosító okmánya.","Documento d'identità ufficiale del titolare.","Documento oficial de identidad del propietario.","Document officiel d'identité du propriétaire.","业主的正式身份证明文件。","所有者の公式の身分証明書。","Documento oficial que comprove a identidade do proprietário.","业主的正式身份证明文件。"
"STR_TERJESTARTSCREEN_PASS_ID","Number","Number","Číslo","Zahl","Номер","Liczba","Szám","Numero","Número","Numéro","电话号码","番号","Número","电话号码"
"STR_TERJESTARTSCREEN_PASS_NAME","Name","Name","Název","Name","Имя","Nazwa","Név","Nome","Nombre","Nom","姓名","名前","Nome","姓名"
"STR_TERJESTARTSCREEN_PASS_SEX","Sex","Sex","Sex","Sex","Пол","Sex","Szex","Sesso","Sexo","Sexe","性别","性別","Sexo","性别"
"STR_TERJESTARTSCREEN_PASS_MALE","Male","Male","Muž","Männlich","Мужчина","Mężczyźni","Férfi","Maschio","Masculino","Hommes","男","男性","Masculino","男"
"STR_TERJESTARTSCREEN_PASS_FEMALE","Female","Female","Žena","Weiblich","Женщина","Damski","Nő","Femmina","Femenino","Femelle","女","女性","Feminino","女"
