Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chineseimp
STR_TERJEPERK_ATH_STAIRMASTER,Ladders Master,Ladders Master,Žebříky mistr,Leitermeister,Мастер лестниц,Mistrz drabin,Létrák mester,Scale master,Maestro de escaleras,Maître des Échelles,梯子大師,はしごマスター,Escadas mestre,梯子大师
STR_TERJEPERK_ATH_STAIRMASTER_DES,"You reduce stamina consumption and increase its recovery when using vertical ladders. Thanks to dexterity and economical distribution of efforts, you spend less energy on climbing and recover faster, which allows you to move more efficiently at heights.","You reduce stamina consumption and increase its recovery when using vertical ladders. Thanks to dexterity and economical distribution of efforts, you spend less energy on climbing and recover faster, which allows you to move more efficiently at heights.","Snižujete spotřebu staminy a zvyšujete její obnovu pomocí vertikálních schodišť. Díky agilitě a úspornému rozložení úsilí vynakládáte méně energie na stoupání a rychleji obnovujete síly, což vám umožní efektivněji se pohybovat ve výškách.","Sie reduzieren den Ausdauerverbrauch und erhöhen die Regeneration, wenn Sie vertikale Treppen verwenden. Dank Ihrer Geschicklichkeit und Ihrer sparsamen Verteilung der Anstrengung verbrauchen Sie weniger Energie für das Heben und regenerieren schneller Kraft, wodurch Sie sich effizienter in Höhen bewegen können.","Вы уменьшаете расход стамины и увеличиваете её восстановление при использовании вертикальных лестниц. Благодаря ловкости и экономичному распределению усилий, вы тратите меньше энергии на подъем и быстрее восстанавливаете силы, что позволяет эффективнее перемещаться по высотам.","Podczas korzystania z drabin pionowych zmniejsza się wydatek na wytrzymałość i zwiększa jej regenerację. Dzięki zręczności i lepszemu rozłożeniu wysiłku zużywasz mniej energii na wspinaczkę i szybciej odzyskujesz siły, co pozwala na bardziej efektywne poruszanie się na wysokościach.","Csökkenti az állóképességet és növeli a helyreállítást függőleges létrák használatakor. Az ügyességnek és az erőfeszítések gazdaságos elosztásának köszönhetően kevesebb energiát költ a hegymászásra és a gyorsabb helyreállításra, ami lehetővé teszi, hogy hatékonyabban mozogjon magasságban.","Si riduce il consumo di stamina e si aumenta il recupero quando si utilizzano scale verticali. Grazie alla destrezza e alla distribuzione economica degli sforzi, spendi meno energia per salire e recuperare più velocemente, il che ti consente di muoverti in modo più efficiente in quota.","Reduce el consumo de stamina y aumenta su recuperación al usar escaleras verticales. Gracias a la agilidad y la distribución económica del esfuerzo, gasta menos energía en la escalada y recupera la fuerza más rápido, lo que le permite moverse más eficientemente a través de las alturas.","Grâce à votre dextérité et à une répartition efficace de vos efforts, vous dépensez moins d'énergie en grimpant et récupérez plus vite, ce qui vous permet de grimper plus rapidement.",使用垂直梯子時，您可以減少耐力消耗並增加其恢複。 由于靈巧和經濟分配的努力，你花更少的精力在攀登和恢複更快，這可以讓你更有效地在高處移動。,縦の梯子を使用するときスタミナの消費を減らし、回復を高める。 器用さと経済的な努力の配分のおかげで、登山に費やすエネルギーが少なくなり、より速く回復し、高さでより効率的に移動することができます。,"Você reduz o consumo de Estamina e aumenta sua recuperação ao usar escadas verticais. Graças à agilidade e à distribuição econômica do esforço, você gasta menos energia na subida e recupera mais rapidamente a força, o que permite que você se mova de forma mais eficiente em alturas.",使用垂直梯子时，您可以减少耐力消耗并增加其恢复。 由于灵巧和经济分配的努力，你花更少的精力在攀登和恢复更快，这可以让你更有效地在高处移动。
STR_TERJEPERK_ATH_NOPANTING,No Panting,No Panting,Žádné lapání po dechu,Kein Keuchen,Без отдышки,Brak zadyszki,Nincs lihegés,Non ansimare,Sin jadeos,Sans Souffle Coupé,持久不喘,あえぎなし,Não ofegante,持久不喘
STR_TERJEPERK_ATH_NOPANTING_DES,"You reduce the delay before stamina is restored. Your body begins to recover faster after physical exertion, allowing you to quickly return to full combat readiness and stay active longer.","You reduce the delay before stamina is restored. Your body begins to recover faster after physical exertion, allowing you to quickly return to full combat readiness and stay active longer.","Před obnovením staminy snižujete zpoždění. Vaše tělo začne rychleji obnovovat sílu po fyzické námaze, což vám umožní rychle se vrátit do plné bojové připravenosti a zůstat aktivní déle.","Sie verkürzen die Verzögerung, bevor Sie Ausdauer wiederherstellen. Ihr Körper beginnt sich nach körperlicher Anstrengung schneller wieder zu stärken, sodass Sie schnell wieder in Alarmbereitschaft zurückkehren und länger aktiv bleiben können.","Вы сокращаете задержку перед восстановлением стамины. Ваше тело быстрее начинает восстанавливать силы после физической нагрузки, позволяя вам оперативно возвращаться в полную боевую готовность и дольше оставаться активным.","Zmniejszasz opóźnienie przed odzyskaniem wytrzymałości. Organizm zaczyna szybciej regenerować się po wysiłku fizycznym, co pozwala na szybki powrót do pełnej gotowości i dłuższą aktywność.","Csökkenti a késleltetést, mielőtt az állóképesség helyreáll. A tested fizikai erőfeszítés után gyorsabban kezd helyreállni, lehetővé téve, hogy gyorsan visszatérjen a teljes harci készenléthez és hosszabb ideig maradjon aktív.","Riduci il ritardo prima di recuperare lo stamina. Il tuo corpo inizia a riprendersi più velocemente dopo l'esercizio, permettendoti di tornare rapidamente alla piena prontezza al combattimento e rimanere attivo più a lungo.","Reduce el retraso antes de restaurar la estamina. Su cuerpo comienza a recuperarse más rápido después del esfuerzo físico, lo que le permite regresar rápidamente a su plena preparación para el combate y mantenerse activo por más tiempo.","Vous réduisez le délai avant que votre endurance ne se rétablisse. Votre corps commence à récupérer plus rapidement après un effort physique, vous permettant de retrouver rapidement une pleine capacité de combat et de rester actif plus longtemps.",你減少了體力恢復的延遲。經過體力消耗後，你的身體開始更快地恢復，讓你能夠迅速回復到完全的戰鬥準備狀態並保持更長時間的活躍。,スタミナが回復する前に遅延を減らします。 あなたの体は物理的な努力の後でより速く回復し始め、あなたがすぐに完全な戦闘準備に戻り、より長く活動的にとどまることを可能にします。,"Você reduz o atraso antes de restaurar a Estamina. Seu corpo começa a se recuperar mais rapidamente após o exercício, permitindo que você retorne rapidamente à plena prontidão de combate e permaneça ativo por mais tempo.",你减少耐力恢复之前的延迟。 你的身体在体力消耗后开始恢复得更快，让你快速恢复到完全战备状态并保持更长时间的活跃。
STR_TERJEPERK_ATH_HYDRATIONCONTR,Hydration Control,Hydration Control,Kontrola hydratace,Kontrolle der Flüssigkeitszufuhr,Контроль гидратации,Kontrola nawodnienia,Hidratáció ellenőrzése,Controllo dell'idratazione,Control de hidratación,Contrôle de l'Hydratation,水分控制,水和制御,Controle de hidratação,水化控制
STR_TERJEPERK_ATH_HYDRATIONCONTR_DES,"You reduce water consumption when running. Thanks to improved control over the body's water balance, you stay hydrated longer during active movement, which allows you to feel thirsty less often during long runs.","You reduce water consumption when running. Thanks to improved control over the body's water balance, you stay hydrated longer during active movement, which allows you to feel thirsty less often during long runs.","Při běhu snižujete průtok vody. Díky zlepšené kontrole vodní rovnováhy těla udržujete hydrataci během aktivního pohybu déle, což vám umožní méně často pociťovat žízeň při dlouhém běhu.","Sie reduzieren den Wasserverbrauch beim Laufen. Durch eine verbesserte Kontrolle des Wasserhaushalts des Körpers bleiben Sie während aktiver Bewegung länger hydratisiert, wodurch Sie bei längeren Läufen weniger durstig werden können.","Вы снижаете расход воды при беге. Благодаря улучшенному контролю над водным балансом организма, вы дольше сохраняете гидратацию во время активного передвижения, что позволяет вам реже испытывать жажду при длительных пробежках.","Zmniejszasz zużycie wody podczas biegu. Dzięki lepszej kontroli nad równowagą wodną organizmu, dłużej pozostajesz nawodniony podczas aktywnego ruchu, dzięki czemu rzadziej odczuwasz pragnienie podczas długich biegów.","Csökkenti a vízfogyasztást futás közben. A test vízmérlegének jobb ellenőrzésének köszönhetően hosszabb ideig hidratált marad az aktív mozgás során, ami lehetővé teszi, hogy hosszú futás közben ritkábban érezze magát szomjasnak.","Riduci il consumo di acqua durante la corsa. Con un migliore controllo del bilancio idrico del corpo, rimani idratato più a lungo durante il movimento attivo, permettendoti di avere meno sete durante le lunghe corse.","Reduce el consumo de agua al correr. Gracias a un mejor control del equilibrio hídrico del cuerpo, se mantiene hidratado durante más tiempo durante el movimiento activo, lo que le permite tener menos sed en carreras largas.","Vous réduisez votre consommation d'eau en courant. Grâce à un meilleur contrôle de l'équilibre hydrique du corps, vous restez hydraté plus longtemps pendant vos mouvements, ce qui vous permet d'avoir moins soif lors de longues courses.",你在跑步時減少了水分消耗。得益於對身體水分平衡的更好控制，你在積極運動時能夠更長時間保持水分，這使你在長時間跑步時不會那麼頻繁地感到口渴。,走っているときの水の消費量を減らします。 体の水分バランスの改善された制御のおかげで、あなたは長い実行中にあまり頻繁にのどが渇いて感じることができ、アクティブな動きの間に長く水和滞在します。,"Você reduz o consumo de água ao correr. Graças ao melhor controle do equilíbrio de água do corpo, você se mantém hidratado por mais tempo durante o movimento ativo, o que permite que você tenha menos sede durante corridas longas.",您减少运行时的用水量。 由于改善了对身体水分平衡的控制，您在积极运动期间保持更长时间的水分，这可以让您在长时间跑步时减少口渴。
STR_TERJEPERK_ATH_ENERGYCONTR,Energy Control,Energy Control,Kontrola energie,Kontrolle der Energie,Контроль энергии,Kontrola energii,Energiaszabályozás,Controllo dell'energia,Control de energía,Contrôle de l'Énergie,能量控制,エネルギー制御,Controle de energia,能源控制
STR_TERJEPERK_ATH_ENERGYCONTR_DES,"You reduce the consumption of food when running. Efficient use of energy allows your body to maintain a feeling of satiety longer during active movement, which reduces the need for food even during long runs.","You reduce the consumption of food when running. Efficient use of energy allows your body to maintain a feeling of satiety longer during active movement, which reduces the need for food even during long runs.","Při běhu snižujete spotřebu jídla. Efektivní využití energie umožňuje vašemu tělu zůstat déle sytý během aktivního pohybu, což snižuje potřebu jídla i při dlouhých běhech.","Sie reduzieren den Nahrungsverbrauch beim Laufen. Durch die effiziente Nutzung von Energie kann Ihr Körper während aktiver Bewegung länger gesättigt bleiben, wodurch der Bedarf an Nahrung auch bei langen Läufen reduziert wird.","Вы снижаете расход еды при беге. Эффективное использование энергии позволяет вашему организму дольше сохранять чувство сытости во время активного передвижения, что сокращает потребность в еде даже при длительных пробежках.","Zmniejszasz spożycie pokarmu podczas biegania. Efektywne wykorzystanie energii pozwala organizmowi zachować sytość na dłużej podczas aktywnego ruchu, co zmniejsza zapotrzebowanie na jedzenie nawet podczas długich biegów.","Csökkenti az élelmiszer fogyasztását futás közben. Az energia hatékony felhasználása lehetővé teszi a szervezet számára, hogy az aktív mozgás során hosszabb ideig fenntartsa a jóllakottság érzését, ami hosszú távon is csökkenti az élelmiszerigényt.","Riduci il consumo di cibo durante la corsa. L'uso efficiente di energia consente al tuo corpo di sentirsi pieno più a lungo durante la locomozione attiva, riducendo la necessità di cibo anche durante le lunghe corse.","Reduce el consumo de alimentos al correr. El uso eficiente de la energía le permite a su cuerpo mantenerse lleno durante más tiempo durante el movimiento activo, lo que reduce la necesidad de comer incluso durante carreras largas.","Vous réduisez votre consommation de nourriture en courant. Une utilisation efficace de l'énergie permet à votre corps de maintenir un sentiment de satiété plus longtemps pendant vos mouvements, ce qui réduit le besoin de nourriture même lors de longues courses.",你在跑步時減少了食物消耗。高效的能量利用使得你的身體在積極運動時能夠更長時間保持飽腹感，這減少了即使在長時間跑步中對食物的需求。,あなたは走っているときに食べ物の消費を減らします。 エネルギーを効率的に使用することで、体は活発な動きの間に満腹感をより長く維持することができ、長い走りの間でさえ食物の必要性を減らします。,"Você reduz o consumo de alimentos ao correr. O uso eficiente de energia permite que seu corpo mantenha a sensação de saciedade por mais tempo durante o movimento ativo, o que reduz a necessidade de comida, mesmo durante corridas longas.",您在跑步时减少了食物的消耗。 有效利用能量可以让您的身体在积极运动期间保持更长时间的饱腹感，即使在长时间跑步时也能减少对食物的需求。
STR_TERJEPERK_ATH_ENDURING,Enduring,Enduring,Trvalý,Dauerhaft,Выносливый,Trwałość,Tartós,Duraturo,Perdurable,Endurant,經久不衰,永続的な,Duradouro,经久不衰
STR_TERJEPERK_ATH_ENDURING_DES,"Your body is hardened for long-term loads. The maximum stamina supply is increased, allowing you to stay active longer without fatigue.","Your body is hardened for long-term loads. The maximum stamina supply is increased, allowing you to stay active longer without fatigue.","Vaše tělo je zaneseno na dlouhou zátěž. Maximální zásoba staminy je zvýšena, což vám umožní zůstat aktivní déle bez únavy.","Ihr Körper ist für längere Belastungen gehärtet. Die maximale Ausdauer wurde erhöht, sodass Sie länger ohne Ermüdung aktiv bleiben können.","Ваш организм закален для длительных нагрузок. Максимальный запас стамины увеличен, позволяя вам дольше оставаться активным без усталости.","Twoje ciało jest zahartowane do długotrwałego wysiłku. Maksymalna rezerwa wytrzymałości jest zwiększona, co pozwala na dłuższą aktywność bez zmęczenia.","A test keményedik a hosszú távú terhelésekhez. A maximális állóképességi tartalék megnövekszik, így hosszabb ideig aktív maradhat fáradtság nélkül.","Il tuo corpo è indurito per carichi prolungati. La massima riserva di Stamina è aumentata, permettendoti di rimanere attivo più a lungo senza affaticamento.","Su cuerpo está endurecido para cargas prolongadas. Se aumenta el suministro máximo de stamina, lo que le permite mantenerse activo por más tiempo sin fatiga.","Votre corps est endurci pour le port de charges. Votre réserve maximale d'endurance est augmentée, vous permettant de rester actif plus longtemps sans fatigue.",你的身體已經適應了長時間的負荷。最大體力供應增加，使你能夠在不感到疲勞的情況下保持更長時間的活躍。,あなたの体は長期的な負荷のために硬化しています。 最大スタミナリザーブが増加し、疲労せずに長くアクティブに滞在することができます。,"Seu corpo está endurecido para cargas prolongadas. O suprimento máximo de Estamina é aumentado, permitindo que você permaneça ativo por mais tempo sem se cansar.",你的身体会因为长期的负荷而变硬。 最大耐力储备增加，让您保持活跃更长时间而不会疲劳。
STR_TERJEPERK_ATH_STUNTMAN,Stuntman,Stuntman,Kaskadér,Stuntman,Каскадер,Kaskader,Kaszkadőr,Stuntman,Especialista,Cascadeur,特技演員,スタントマン,Dublê,特技演员
STR_TERJEPERK_ATH_STUNTMAN_DES,"You reduce the damage you receive from falls. Thanks to improved coordination and the ability to group correctly when falling, you reduce the risk of serious injury, maintaining more health even after falling from a height.","You reduce the damage you receive from falls. Thanks to improved coordination and the ability to group correctly when falling, you reduce the risk of serious injury, maintaining more health even after falling from a height.",Snižujete způsobenou škodu z pádů. Díky lepší koordinaci a schopnosti správně seskupit se při pádu snižujete riziko vážných zranění a zároveň udržujete více zdraví i po pádech z výšky.,"Sie reduzieren den erlittenen Sturzschaden. Dank der verbesserten Koordination und der Fähigkeit, sich beim Sturz richtig zu gruppieren, reduzieren Sie das Risiko schwerer Verletzungen und halten auch nach einem Sturz aus einer Höhe mehr Gesundheit.","Вы уменьшаете получаемый урон от падений. Благодаря улучшенной координации и умению правильно группироваться при падении, вы снижаете риск серьёзных травм, сохраняя больше здоровья даже после падений с высоты.","Zmniejszasz obrażenia odniesione w wyniku upadków. Dzięki lepszej koordynacji i zdolności do upadania, zmniejszasz ryzyko poważnych obrażeń, zachowując więcej zdrowia nawet po upadku z wysokości.","Csökkenti az esésekből származó károkat. A jobb koordinációnak és a megfelelő csoportosulásnak köszönhetően csökkenti a súlyos sérülések kockázatát, és még a magasságból való leesés után is megőrzi az egészséget.","Riduci i danni subiti dalle cadute. Con una migliore coordinazione e la capacità di raggruppare correttamente quando cadi, riduci il rischio di lesioni gravi mantenendo più salute anche dopo le cadute dall'alto.","Reduce el daño recibido por caídas. Con una mejor coordinación y la capacidad de agruparse adecuadamente en una caída, reduce el riesgo de lesiones graves, manteniendo más salud incluso después de caídas desde una altura.","Vous réduisez les dégâts reçus lors des chutes. Grâce à une coordination améliorée et à votre esprit vif, vous réduisez le risque de blessures graves en cas de chute.",你減少了摔落時受到的傷害。得益於更好的協調能力和正確摔落的技巧，你減少了重傷的風險，即使從高處摔下來，也能保持更多的健康。,あなたは滝から受けるダメージを減らします。 改善された調整と落下時に正しくグループ化する能力のおかげで、重傷のリスクを軽減し、高さから落ちた後でもより多くの健康を維持します。,"Você reduz o dano recebido de quedas. Ao melhorar a coordenação e a capacidade de se agrupar corretamente em uma queda, você reduz o risco de ferimentos graves, mantendo-se mais saudável mesmo depois de cair de uma altura.",你减少了你从跌倒中受到的伤害。 由于改善了协调性和摔倒时正确分组的能力，您可以降低严重伤害的风险，即使从高处坠落也能保持更多的健康。
STR_TERJEPERK_ATH_STRONGBONES,Strong Bones,Strong Bones,Silné kosti,Starke Knochen,Крепкие кости,Śilne kości,Erős csontok,Ossa forti,Huesos fuertes,Os Solides,強壯的骨骼,強い骨,Ossos fortes,强壮的骨骼
