"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJERAD_DOSIMETR_MKC01A_NAME","Radiometer MKC-01CA1M","Radiometer MKC-01CA1M","Radiometr MKC-01CA1M","Radiometer MKC-01CA1M","Радіометр МКЦ-01СА1М","Radiometr MKC-01CA1M","Radiometr MKC-01CA1M","Radiometr MKC-01CA1M","Radiómetro MKC-01CA1M","Radiomètre MKC-01CA1M","輻射計 MKC-01CA1M","ラジオメーター MKC-01CA1M","Radiometr MKC-01CA1M","Radiometr MKC-01CA1M"
"STR_TERJERAD_DOSIMETR_MKC01A_DESC","The electronic measuring device has a waterproof design and is a compact professional device with voice and visual notification. It is used to measure the power of the ambient equivalent dose and the dose of gamma (X-ray) radiation, indicate the flow of ionizing particles, and determine the saturation of the flow of beta and alpha particles from contaminated surfaces. The device is also able to quickly assess the radiation situation, identify places of ionizing radiation.","The electronic measuring device has a waterproof design and is a compact professional device with voice and visual notification. It is used to measure the power of the ambient equivalent dose and the dose of gamma (X-ray) radiation, indicate the flow of ionizing particles, and determine the saturation of the flow of beta and alpha particles from contaminated surfaces. The device is also able to quickly assess the radiation situation, identify places of ionizing radiation.","Elektronický měřicí přístroj, má vodotěsné provedení, je kompaktní profesionální zařízení s hlasovým a vizuálním upozorněním. Používá se k měření výkonu okolní ekvivalentní dávky a dávky gama (rentgenového) záření, indikaci toku ionizujících částic, určení sytosti toku beta a alfa částic ze znečištěných povrchů. Přístroj je také schopen rychle vyhodnotit radiační prostředí, identifikovat místa ionizujícího záření.","Das elektronische Messgerät ist wasserdicht und ist ein kompaktes, professionelles Gerät mit Sprach- und Sichtwarnung. Wird zur Messung der Leistung der umgebenden Äquivalentdosis und der Dosis von Gamma- (Röntgen-) Strahlung, zur Anzeige des Durchflusses von ionisierenden Partikeln und zur Bestimmung der Sättigung des Durchflusses von Beta- und Alpha-Partikeln von kontaminierten Oberflächen verwendet. Das Gerät ist auch in der Lage, die Strahlungssituation schnell zu beurteilen und ionisierende Strahlungsstellen zu identifizieren.","Електронний вимірювальний прилад має водонепроникну конструкцію і є компактним професійним приладом з голосовим і візуальним сповіщенням. Використовується для вимірювання потужності амбієнтної еквівалентної дози та дози гамма (рентгенівського) випромінювання, індикації потоку іонізуючих частинок, визначення насиченості потоку бета- та альфа-частинок від забруднених поверхонь. Прилад також здатний швидко оцінити радіаційну обстановку, визначити місця іонізуючого випромінювання.","Elektroniczne urządzenie pomiarowe, wersja wodoodporna, to kompaktowe profesjonalne urządzenie z powiadomieniem głosowym i wizualnym. Służy do pomiaru dawki równoważnej w otoczeniu i dawki gamma (promieniowania rentgenowskiego), wskazywania strumienia cząstek jonizujących, określania nasycenia strumienia cząstek beta i alfa ze skażonych powierzchni. Urządzenie jest również w stanie szybko ocenić sytuację radiacyjną, zidentyfikować miejsca promieniowania jonizującego.","Az elektronikus mérőeszköz vízálló kivitelű, kompakt professzionális eszköz, hangos és vizuális értesítéssel. A környezeti ekvivalens dózis és a gamma (röntgen) sugárzás teljesítményének mérésére szolgál, jelzi az ionizáló részecskék áramlását, és meghatározza a béta és alfa részecskék áramlásának telítettségét a szennyezett felületekről. A készülék képes gyorsan felmérni a sugárzási helyzetet, azonosítani az ionizáló sugárzás helyeit.","Lo strumento di misura elettronica, ha una versione impermeabile, è un dispositivo professionale compatto con avviso vocale e visivo. Utilizzato per misurare la potenza della dose equivalente circostante e la dose di raggi gamma (raggi X), indicare il flusso di particelle ionizzanti, determinare la saturazione del flusso di particelle beta e alfa da superfici contaminate. Il dispositivo è anche in grado di valutare rapidamente la situazione delle radiazioni, identificare i luoghi delle radiazioni ionizzanti.","El instrumento de medición electrónica, tiene un diseño impermeable, es un dispositivo profesional compacto con alerta de voz y Visual. Se utiliza para medir la potencia de la dosis equivalente circundante y la dosis de radiación gamma (rayos x), para indicar el flujo de partículas ionizantes, para determinar la saturación del flujo de partículas beta y alfa de superficies contaminadas. El dispositivo también es capaz de evaluar rápidamente la situación de radiación, identificar lugares de radiación ionizante.","Le dispositif de mesure électronique a une conception étanche et est un appareil professionnel compact avec notification vocale et visuelle. Il est utilisé pour mesurer la puissance de la dose équivalente ambiante et la dose de rayonnement gamma (X), indiquer le flux de particules ionisantes, et déterminer la saturation du flux de particules bêta et alpha provenant de surfaces contaminées. L'appareil est également capable d'évaluer rapidement la situation radiologique, d'identifier les lieux de rayonnement ionisant.","電子測量裝置具有防水設計，是一種緊湊的專業設備，具有語音和視覺通知。 它用于測量環境等效劑量和伽馬（X射線）輻射劑量的功率，指示電離粒子的流動，並確定來自汙染表面的β和α粒子流動的飽和度。 該設備還能夠快速評估輻射情況，識別電離輻射的地方。","電子測定装置は防水設計を有し、音声および視覚通知を備えたコンパクトなプロの装置である。 これは、周囲の等価線量のパワーとガンマ（X線）放射線の線量を測定し、電離粒子の流れを示し、汚染された表面からのベータ粒子とアルファ粒子の流れの飽和を決定するために使用されます。 この装置は、放射線状況を迅速に評価し、電離放射線の場所を特定することもできる。","O instrumento de medição eletrônica, tem um design impermeável, é um dispositivo profissional compacto com notificação por voz e visual. É usado para medir a potência da dose equivalente ambiental e da dose de radiação gama (raios - X), indicar o fluxo de partículas ionizantes, determinar a saturação do fluxo de partículas beta e alfa de superfícies contaminadas. O dispositivo também é capaz de avaliar rapidamente a situação de radiação, identificar locais de radiação ionizante.","电子测量装置具有防水设计，是一种紧凑的专业设备，具有语音和视觉通知。 它用于测量环境等效剂量和伽马（X射线）辐射剂量的功率，指示电离粒子的流动，并确定来自污染表面的β和α粒子流动的饱和度。 该设备还能够快速评估辐射情况，识别电离辐射的地方。"
"STR_TERJERAD_DOSIMETR_CDV700_NAME","CD V-700 Geiger Counter","CD V-700 Geiger Counter","Geiger CD v-700","Geigerzähler CD V-700","CD V-700 Лічильник Гейгера","Licznik Geigera CD V-700","CD V - 700 Geiger számláló","Contatore Geiger CD V-700","Contador geiger CD V-700","Compteur Geiger CD V-700","CD V-700 蓋革計數器","CD V-700ガイガーカウンター","Contador Geiger CD V-700","CD V-700盖革计数器"
"STR_TERJERAD_DOSIMETR_CDV700_DESC","The CD V-700 is a Geiger counter equipped with a Geiger—Mueller lamp sensor, which was produced by several companies under contract with the U.S. federal Civil Defense agencies in the 1950s and 1960s. This device is quite sensitive and can be used to measure low levels of gamma radiation and detect beta radiation. In conditions of high radiation, the Geiger counter may fail, which will cause the meter to show a very low radiation level (close to 0 R/h), therefore it is necessary to use additional counters with an ionization chamber.","The CD V-700 is a Geiger counter equipped with a Geiger—Mueller lamp sensor, which was produced by several companies under contract with the U.S. federal Civil Defense agencies in the 1950s and 1960s. This device is quite sensitive and can be used to measure low levels of gamma radiation and detect beta radiation. In conditions of high radiation, the Geiger counter may fail, which will cause the meter to show a very low radiation level (close to 0 R/h), therefore it is necessary to use additional counters with an ionization chamber.","CD v-700 je Geigerův měřič vybavený senzorem s lampou Geiger — Mueller, který produkovalo několik společností na základě smlouvy s federálními agenturami civilní obrany USA v 50.a 60. letech 20. století. Tento přístroj je poměrně citlivý a lze jej použít k měření nízkých hladin gama záření a detekci beta záření. V podmínkách vysokého záření může Geigerův měřič selhat, což způsobí, že měřič bude vykazovat velmi nízkou úroveň záření (blízkou 0 R/H), takže je nutné použít další měřiče s ionizační kamerou.","Der CD V-700 ist ein Geigerzähler, der mit einem Sensor mit einer Geiger— Müller-Lampe ausgestattet ist und in den 1950er und 1960er Jahren von mehreren Unternehmen unter Vertrag mit den US-amerikanischen Zivilschutzbehörden hergestellt wurde. Dieses Gerät ist sehr empfindlich und kann zur Messung niedriger Gammastrahlung und zur Erkennung von Beta-Strahlung verwendet werden. Bei hoher Strahlung kann der Geigerzähler ausfallen, wodurch das Messgerät einen sehr niedrigen Strahlungsgrad anzeigt (nahe 0 P / h), daher müssen zusätzliche Zähler mit der Ionisationskammer verwendet werden.","CD V-700 — це лічильник Гейгера, оснащений датчиком лампи Гейгера-Мюллера, який вироблявся декількома компаніями за контрактом з федеральними агентствами цивільної оборони США в 1950-х і 1960-х роках. Цей прилад досить чутливий і може використовуватися для вимірювання низьких рівнів гамма-випромінювання та виявлення бета-випромінювання. В умовах підвищеної радіації лічильник Гейгера може вийти з ладу, що призведе до того, що лічильник покаже дуже низький рівень радіації (близький до 0 Р/год), тому необхідно використовувати додаткові лічильники з іонізаційною камерою.","CD V-700 to licznik Geigera wyposażony w czujnik lampy Geigera-Muellera, który był produkowany przez kilka firm w ramach kontraktu dla amerykańskich federalnych agencji obrony cywilnej w latach 50. i 60. ubiegłego wieku. Instrument ten jest dość czuły i może być używany do pomiaru niskich poziomów promieniowania gamma i wykrywania promieniowania beta. W warunkach wysokiego promieniowania licznik Geigera może ulec awarii, powodując, że miernik pokaże bardzo niskie poziomy promieniowania (bliskie 0 R/h), dlatego należy użyć dodatkowych liczników z komorą jonizacyjną.","A CD V-700 egy Geiger—Müller lámpaérzékelővel felszerelt Geiger-számláló, amelyet több vállalat gyártott az Egyesült Államok szövetségi polgári védelmi ügynökségeivel az 1950-es és 1960-as években. ez az eszköz meglehetősen érzékeny, és alacsony gamma-sugárzás mérésére és béta-sugárzás kimutatására használható. Magas sugárzás esetén a Geiger-számláló meghibásodhat, ami miatt a mérő nagyon alacsony sugárzási szintet mutat (közel 0 R/h), ezért további számlálókat kell használni ionizációs kamrával.","Il CD V-700 è un contatore Geiger dotato di un sensore con lampada Geiger — Mueller prodotto da diverse società sotto contratto con le agenzie federali di Protezione Civile degli Stati Uniti negli anni '50 e' 60. Questo strumento è abbastanza sensibile e può essere utilizzato per misurare bassi livelli di radiazioni gamma e rilevare le radiazioni beta. In condizioni di elevata radiazione, il contatore Geiger può guastarsi,facendo sì che il misuratore mostri un livello di radiazione molto basso (vicino a 0 r/h), quindi è necessario utilizzare contatori aggiuntivi con una camera di ionizzazione.","El CD V — 700 es un medidor geiger equipado con un Sensor con una lámpara geiger — Mueller que fue fabricado por varias compañías bajo contrato con las agencias federales de defensa civil de los Estados Unidos en las décadas de 1950 y 1960. Este instrumento es bastante sensible y se puede usar para medir niveles bajos de radiación gamma y detectar radiación beta. En condiciones de alta radiación, el medidor geiger puede fallar, por lo que el medidor mostrará un nivel de radiación muy bajo (cerca de 0 R/h), por lo que es necesario usar medidores adicionales con una cámara de ionización.","Le CD V-700 est un compteur Geiger équipé d'un capteur à lampe Geiger-Müller, qui a été produit par plusieurs entreprises sous contrat avec les agences fédérales de défense civile des États-Unis dans les années 1950 et 1960. Cet appareil est assez sensible et peut être utilisé pour mesurer de faibles niveaux de rayonnement gamma et détecter le rayonnement bêta. Dans des conditions de rayonnement élevé, le compteur Geiger peut tomber en panne, ce qui amènera le compteur à afficher un niveau de rayonnement très bas (proche de 0 R/h), il est donc nécessaire d'utiliser des compteurs supplémentaires avec une chambre d'ionisation.","CD V-700是一個蓋革計數器，配備蓋革計數器—穆勒燈傳感器，由幾家公司在20世紀50年代和60年代與美國聯邦民防機構簽訂合同生産。這個裝置非常敏感，可用于測量低水平的伽馬射線和檢測β輻射。 在高輻射的條件下，蓋革計數器可能會失效，這會導致儀表顯示出非常低的輻射水平（接近0R/h），因此有必要使用帶有電離室的額外計數器。","CD V-700は、1950年代から1960年代にかけて米国連邦民間防衛機関と契約して数社で製造されたガイガー・ミューラーランプセンサーを搭載したガイガーカウンターであり、非常に感度が高く、低レベルのガンマ線の測定やベータ線の検出に使用できます。 高放射線の状態では、ガイガーカウンターが故障する可能性があり、メーターに非常に低い放射線レベル(0R/hに近い)が表示されるため、イオン化チャンバ付きの追加のカウンターを使用する必要があります。","O CD V — 700 é um contador Geiger equipado com um sensor de lâmpada Geiger — Mueller que foi fabricado por várias empresas sob contrato com agências federais de Defesa Civil dos EUA nas décadas de 1950 e 1960. Este instrumento é bastante sensível e pode ser usado para medir baixos níveis de radiação gama e detectar radiação beta. Em condições de alta radiação, O medidor Geiger pode falhar, o que fará com que o medidor mostre níveis de radiação muito baixos (perto de 0 r/h), portanto, medidores adicionais com uma câmara de ionização devem ser usados.","CD V-700是一个盖革计数器，配备盖革计数器—穆勒灯传感器，由几家公司在20世纪50年代和60年代与美国联邦民防机构签订合同生产。这个装置非常敏感，可用于测量低水平的伽马射线和检测β辐射。 在高辐射的条件下，盖革计数器可能会失效，这会导致仪表显示出非常低的辐射水平（接近0R/h），因此有必要使用带有电离室的额外计数器。"
"STR_TERJERAD_DOSIMETR_DPG05_NAME","Household Dosimeter DBG - 05B","Household Dosimeter DBG - 05B","Dozimetr-alarm pro domácí DBG-05B","Dosimeter-Alarmgeber für Haushalt DBG - 05B","Дозиметр побутовий ДБГ-05Б","Dozymetr-sygnalizator domowy DBG - 05B","Háztartási doziméter DBG-05B","Dosimetro-allarme domestico DBG-05B","Dosímetro de alarma hogar dbg-05B","Dosimètre Domestique DBG - 05B","家用劑量計 DBG - 05B","家庭用線量計DBG-05B","Dosímetro-alarme doméstico DBG-05B","家用剂量计DBG-05B"
"STR_TERJERAD_DOSIMETR_DPG05_DESC","The dosimeter is used to detect and assess the power level of the equivalent dose (MED) of photonic ionizing radiation by the population using sound and light signaling by counting sound or light signals in 10 seconds, as well as for indirect assessment of contamination with radionuclides of food and the environment.","The dosimeter is used to detect and assess the power level of the equivalent dose (MED) of photonic ionizing radiation by the population using sound and light signaling by counting sound or light signals in 10 seconds, as well as for indirect assessment of contamination with radionuclides of food and the environment.","Dozimetr slouží k detekci a hodnocení populace pomocí zvukového a světelného alarmu úrovně výkonu ekvivalentní dávky (Mad) fotonického ionizujícího záření počítáním zvukových nebo světelných signálů za 10 s a také k nepřímému posouzení kontaminace potravin a životního prostředí radionuklidy.","Das Dosimeter dient dazu, die Bevölkerung durch akustische und Lichtsignalisierung der Äquivalentdosis (ED) der photonischen ionisierenden Strahlung durch Zählen von akustischen oder Lichtsignalen in 10 Sekunden zu erkennen und zu bewerten und die Verschmutzung durch Radionuklide von Lebensmitteln und der Umwelt indirekt zu bewerten.","Дозиметр використовується для виявлення та оцінки рівня потужності еквівалентної дози (МЕД) фотонного іонізуючого випромінювання населенням за допомогою звукової та світлової сигналізації шляхом підрахунку звукових або світлових сигналів за 10 секунд, а також для непрямої оцінки забруднення радіонуклідами харчових продуктів та навколишнього середовища.","Dozymetr służy do wykrywania i oceny przez ludność za pomocą sygnalizacji dźwiękowej i świetlnej poziomu równoważnika dawki (EDR) fotonowego promieniowania jonizującego poprzez zliczanie sygnałów dźwiękowych lub świetlnych przez 10 s, a także do pośredniej oceny skażenia żywności i środowiska radionuklidami.","A dozimétert a lakosság által kibocsátott fotonikus ionizáló sugárzás ekvivalens dózisának (med) teljesítményszintjének észlelésére és értékelésére használják hang-és fényjelzés segítségével, a hang-vagy fényjelek 10 másodpercen belüli számlálásával, valamint az élelmiszerek és a környezet radionuklidokkal való szennyezettségének közvetett értékelésére.","Il dosimetro serve a rilevare e valutare la popolazione con l'aiuto di segnali sonori e luminosi del livello di potenza della dose equivalente (med) di radiazioni ionizzanti fotoniche contando segnali sonori o luminosi per 10 S, nonché per la valutazione indiretta della contaminazione da radionuclidi di cibo e ambiente.","El dosímetro sirve para la detección y evaluación por parte de la población por medio de la señalización sonora y luminosa del nivel de potencia de la dosis equivalente (MED) de la radiación ionizante Fotónica contando las señales sonoras o luminosas en 10 s, así como para la evaluación indirecta de la contaminación por radionúclidos de los alimentos y el medio ambiente.","Le dosimètre est utilisé pour détecter et évaluer le niveau de puissance de la dose équivalente (MED) du rayonnement ionisant photonique par la population en utilisant une signalisation sonore et lumineuse en comptant les signaux sonores ou lumineux en 10 secondes, ainsi que pour l'évaluation indirecte de la contamination par les radionucléides des aliments et de l'environnement.","劑量計用于通過在10秒內計數聲或光信號來檢測和評估人口使用聲和光信號的光子電離輻射的等效劑量（MED）的功率水平，以及用于間接評估食物和環","線量計は、音や光の信号を10秒でカウントすることにより、音や光の信号を使用して、人口による光電離放射線の等価線量（MED）のパワーレベルを検出し、評価するために使用されるだけでなく、食品や環境の放射性核種による汚染の間接的な評価のために使用される。","O dosímetro é usado para detectar e avaliar a população por meio de sinalização sonora e luminosa do nível de potência da dose equivalente (med) de radiação ionizante fotônica, contando sinais sonoros ou luminosos em 10 segundos, bem como para avaliar indiretamente a contaminação por radionuclídeos de alimentos e do meio ambiente.","剂量计用于通过在10秒内计数声或光信号来检测和评估人口使用声和光信号的光子电离辐射的等效剂量（MED）的功率水平，以及用于间接评估食物和环"
"STR_TERJERAD_SOAPY_WATER","SOAPY WATER","SOAPY WATER","MÝDLOVÁ VODA","SEIFENWASSER","МИЛЬНА ВОДА","WODA MYDLANA","SZAPPANOS VÍZ","ACQUA SAPONOSA","AGUA JABONOSA","EAU SAVONNEUSE","肥皂水","石鹸水","ÁGUA COM SABÃO","肥皂水"
"STR_TERJERAD_RAD_DISACTIVATOR","DECONTAMINATING LIQUID","DECONTAMINATING LIQUID","DEKONTAMINAČNÍ KAPALINA","DEKONTAMINATIONSFLÜSSIGKEIT","ЗНЕЗАРАЖУЮЧА РІДИНА","PŁYN DEKONTAMINUJĄCY","FERTŐTLENÍTŐ FOLYADÉK","LIQUIDO DECONTAMINANTE","LÍQUIDO DESCONTAMINANTE","LIQUIDE DE DÉCONTAMINATION","淨化液","除染液","LÍQUIDO DESCONTAMINANTE","去污液"
"STR_TERJERAD_WASH_RADIATION","Wash","Wash","Umýt","Waschen","мити","Umyj","Mossa meg","Lavare","Lavar","Laver","洗","それを洗う","Lavar","洗吧"
"STR_TERJERAD_IMMTY_RADRESISTANCE","Radiation Resistance","Radiation Resistance","Radiační odolnost","Strahlungsbeständigkeit","Радіаційна стійкість","Odporność na promieniowanie","Sugárzási ellenállás","Resistenza alle radiazioni","Resistencia a la radiación","Résistance aux Radiations","輻射耐抗性","耐放射線性","Resistência à radiação","抗辐射性"
"STR_TERJERAD_IMMTY_RADRESISTANCE_DES","Your body copes more easily with the effects of radiation exposure. The occurrence of negative symptoms and the impact of negative effects are reduced.","Your body copes more easily with the effects of radiation exposure. The occurrence of negative symptoms and the impact of negative effects are reduced.","Vaše tělo se snáze vyrovnává s následky radiační infekce. Výskyt negativních příznaků a účinky negativních účinků jsou sníženy.","Ihr Körper kann die Auswirkungen einer Strahlenbefallserkrankung leichter bewältigen. Das Auftreten negativer Symptome und die Auswirkungen negativer Effekte sind reduziert.","Ваше тіло легше справляється з наслідками радіаційного опромінення. Виникнення негативних симптомів і вплив негативних ефектів зменшується.","Organizm łatwiej radzi sobie ze skutkami skażenia promieniowaniem. Zmniejsza się występowanie negatywnych objawów i narażenie na niekorzystne skutki.","A tested könnyebben megbirkózik a sugárterhelés hatásaival. A negatív tünetek előfordulása és a negatív hatások hatása csökken.","Il tuo corpo affronta più facilmente gli effetti della contaminazione da radiazioni. L'insorgenza di sintomi negativi e l'esposizione a effetti negativi sono ridotti.","Su cuerpo es más fácil de manejar los efectos de la contaminación por radiación. La aparición de síntomas negativos y el impacto de los efectos negativos se reduce.","Votre corps fait plus facilement face aux effets de l'exposition aux radiations. L'apparition de symptômes négatifs et l'impact des effets négatifs sont réduits.","您的身體將更容易應對輻射暴露的影響。減少負面症狀的發生和負面影響的影響。","あなたの体は、放射線被ばくの影響をより簡単に対処します。 負の症状の発生と負の影響の影響が軽減されます。","Seu corpo lida mais facilmente com os efeitos da contaminação por radiação. A ocorrência de sintomas negativos e o impacto dos efeitos negativos são reduzidos.","你的身体更容易应对辐射照射的影响。 阴性症状的发生和负面影响的影响减少。"
"STR_TERJERAD_IMMTY_RADREGENERATION","Radiation Regeneration","Radiation Regeneration","Radiační regenerace","Strahlungsregeneration","Радіаційна регенерація","Regeneracja radiacyjna","Sugárzás regenerálása","Rigenerazione delle radiazioni","Regeneración radiológica","Régénération des Radiations","輻射再生","放射線再生","Regeneração de radiação","辐射再生"
"STR_TERJERAD_IMMTY_RADREGENERATION_DES","Your body has a unique ability to remove radiation from the body more efficiently.","Your body has a unique ability to remove radiation from the body more efficiently.","Vaše tělo má jedinečnou schopnost efektivněji odstraňovat záření z těla.","Ihr Körper hat die einzigartige Fähigkeit, Strahlung effizienter aus dem Körper zu entfernen.","Ваше тіло має унікальну здатність ефективніше виводити радіацію з організму.","Twoje ciało ma wyjątkową zdolność do skuteczniejszego usuwania promieniowania z organizmu.","A szervezetnek egyedülálló képessége van arra, hogy hatékonyabban távolítsa el a sugárzást a testből.","Il tuo corpo ha la capacità unica di rimuovere le radiazioni dal corpo in modo più efficace.","Su cuerpo tiene la capacidad única de eliminar la radiación del cuerpo de manera más eficiente.","Votre corps a une capacité unique à éliminer les radiations plus efficacement.","您的身體具有獨特的能力，可以更有效地清除體內的輻射。","あなたの体は、より効率的に体から放射線を除去するユニークな能力を持っています。","Seu corpo tem uma capacidade única de remover a radiação do corpo de forma mais eficaz.","你的身体有一个独特的能力，从身体更有效地去除辐射。"
"STR_TERJERAD_EFFECT_RADPROTECT","RADIATION PROTECTION LEVEL","RADIATION PROTECTION LEVEL","ÚROVEŇ RADIAČNÍ OCHRANY","STRAHLENSCHUTZ EBENE","РІВЕНЬ РАДІАЦІЙНОГО ЗАХИСТУ","POZIOM OCHRONY PRZED PROMIENIOWANIEM","SUGÁRVÉDELMI SZINT","LIVELLO DI PROTEZIONE DALLE RADIAZIONI","NIVEL DE PROTECCIÓN CONTRA LA RADIACIÓN","PROTECTION CONTRE LES RADIATIONS NIVEAU","輻射防護等級","放射線防護レベル","NÍVEL DE PROTEÇÃO CONTRA RADIAÇÃO","辐射防护等级"
"STR_TERJERAD_EFFECT_RADIATION","RADIATION","RADIATION","RADIACE","STRAHLUNG","РАДІАЦІЯ","PROMIENIOWANIE","Sugárzás","RADIAZIONE","RADIACIÓN","RADIATION","輻射","放射線","RADIAÇÃO","辐射"
"STR_TERJERAD_RADIOPROTECTOR","Radioprotector","Radioprotector","Radioprotektor","Strahlenschutz","Радіопротектор","Radioprotektor","Radioprotektor","Radioprotettore","Radioprotector","Radioprotecteur","放射保護劑","放射線防護装置","Radioprotetor","放射保护剂"
"STR_TERJERAD_RADIOPROTECTOR_DESC","Reduces the effects of alpha and gamma radiation on the body. Promotes accelerated radiation withdrawal and protects against radiation sickness.","Reduces the effects of alpha and gamma radiation on the body. Promotes accelerated radiation withdrawal and protects against radiation sickness.","Snižuje účinky záření alfa a gama na tkáně živého organismu. Podporuje urychlené vylučování záření a chrání před radiační nemocí.","Reduziert die Wirkung von Alpha- und Gammastrahlung auf das Gewebe eines lebenden Organismus. Fördert eine beschleunigte Strahlenentnahme und schützt vor Strahlenkrankheit.","Зменшує вплив альфа- і гамма-випромінювання на організм. Сприяє прискореному виведенню радіації та захищає від променевої хвороби.","Zmniejsza wpływ promieniowania alfa i gamma na tkanki żywego organizmu. Pomaga przyspieszyć eliminację promieniowania i chroni przed chorobą popromienną.","Csökkenti az alfa-és gamma-sugárzás hatását az élő szervezet szöveteire. Elősegíti a gyorsított sugárzás visszavonását és védelmet nyújt a sugárbetegség ellen.","Riduce gli effetti delle radiazioni alfa e gamma sui tessuti di un organismo vivente. Promuove il ritiro accelerato delle radiazioni e protegge dalla malattia da radiazioni.","Reduce los efectos de la radiación alfa y gamma en los tejidos de un organismo vivo. Promueve la eliminación acelerada de la radiación y protege contra la enfermedad por radiación.","Réduit les effets des rayonnements alpha et gamma sur les tissus d'un organisme vivant. Favorise l'élimination accélérée des radiations et protège contre la maladie des radiations.","減少阿爾法和伽馬輻射對身體的影響。促進加速輻射撤離並防止放射病。","生きている生物の組織に対するアルファ線とガンマ線の影響を軽減します。 加速された放射の回収を促進し、放射の病気から保護する。","Reduz os efeitos da radiação alfa e gama nos tecidos de um organismo vivo. Promove a remoção acelerada de radiação e protege contra a doença da radiação.","减少α和γ辐射对生物体组织的影响。 促进加速辐射撤回和防止辐射疾病."
"STR_TERJERAD_CANISTRE","Сanister","Сanister","Kanystr","Kanister","Каністра","Kanister","A tartály","Canister","Bidón","Jerrican","濾毒罐","キャニスター","Lata","毒气罐"
"STR_TERJERAD_SHOWER","Garden shower","Garden shower","Zahradní sprcha","Gartendusche","Садовий душ","Prysznic ogrodowy","Kerti zuhany","Doccia da giardino","Ducha de Jardín","Douche de jardin","花園淋浴","ガーデンシャワー","Chuveiro de jardim","花园淋浴"
"STR_TERJERAD_PUMP","Water pump","Water pump","Vodní čerpadlo","Wasserpumpe","Водяний насос","Pompa wody","Vízszivattyú","Pompa acqua","Bomba de agua","Pompe à eau","水泵","水ポンプ","Bomba de água","水泵"
"STR_TERJERAD_RADTENT","Radiation decontamination shower ","Radiation decontamination shower ","Sprcha radiační dekontaminace ","Strahlungsdeaktivierungsdusche ","Душ радіаційної дезактивації ","Prysznic odkażający promieniowanie ","Sugárzás fertőtlenítő zuhany ","Doccia di decontaminazione delle radiazioni ","Ducha de descontaminación radiológica ","Douche radiation décontamination ","輻射淨化淋浴器","放射線除染シャワー ","Chuveiro descontaminação de radiação ","辐射去污淋浴器 "
"STR_TERJERAD_RADTENT_DESC","This is a solid foundation on which you can install a system for watering large objects with a decontaminating solution. With the help of a garden shower and the necessary components, it turns into an effective means to combat radiation pollution. ","This is a solid foundation on which you can install a system for watering large objects with a decontaminating solution. With the help of a garden shower and the necessary components, it turns into an effective means to combat radiation pollution. ","Je to pevný základ, na který lze nainstalovat systém pro zavlažování velkých předmětů dekontaminačním roztokem. S pomocí zahradní sprchy a nezbytných komponent se stává účinným prostředkem pro boj s radiačním znečištěním. ","Dies ist eine solide Basis, auf der ein System zur Bewässerung großer Gegenstände mit einer Desinfektionslösung installiert werden kann. Mit Hilfe einer Gartendusche und den notwendigen Komponenten wird es zu einem wirksamen Mittel zur Bekämpfung von Strahlenschmutzungen. ","Це надійна основа, на якій можна встановити систему поливу великих об'єктів знезаражувальним розчином. За допомогою садового душа і необхідних компонентів він перетворюється в ефективний засіб для боротьби з радіаційним забрудненням. ","Jest to solidna podstawa, na której można zainstalować system do podlewania dużych przedmiotów roztworem odkażającym. Za pomocą prysznica ogrodowego i niezbędnych komponentów zamienia się w skuteczny środek do zwalczania zanieczyszczeń promieniowaniem. ","Ez egy szilárd alap, amelyre telepíthet egy rendszert a nagy tárgyak fertőtlenítő oldattal történő öntözésére. A kerti zuhany és a szükséges alkatrészek segítségével hatékony eszközzé válik a sugárszennyezés elleni küzdelemben. ","Questa è una base solida su cui è possibile installare un sistema per innaffiare oggetti di grandi dimensioni con una soluzione di decontaminazione. Con l'aiuto di una doccia da giardino e dei componenti necessari, si trasforma in un mezzo efficace per combattere l'inquinamento da radiazioni. ","Esta es una base sólida sobre la cual se puede instalar un sistema para regar artículos grandes con una solución de descontaminación. Con la ayuda de una Ducha de Jardín y los componentes necesarios, se convierte en un medio eficaz para combatir la contaminación por radiación. ","C'est une base solide sur laquelle vous pouvez installer un système pour arroser les gros objets avec une solution de décontamination. Avec l'aide d'une douche de jardin et des composants nécessaires, il se transforme en un moyen efficace de lutter contre la pollution par les rayonnements. ","这是一个坚实的基础，您可以在此基础上安装一个用去污解决方案浇灌大型物体的系统。 在花园淋浴和必要组件的帮助下，它变成了对抗辐射污染的有效手段。 ","これは、除染ソリューションで大きなオブジェクトに水をまくためのシステムをインストールできる強固な基盤です。 ガーデンシャワーと必要なコンポーネントの助けを借りて、それは放射線汚染と戦うための効果的な手段に変わります。 ","Esta é uma base sólida sobre a qual você pode instalar um sistema para regar objetos grandes com uma solução de descontaminação. Com a ajuda de um chuveiro de jardim e os componentes necessários, ele se transforma em uma ferramenta eficaz para combater a poluição por radiação. ","这是一个坚实的基础，您可以在此基础上安装一个用去污解决方案浇灌大型物体的系统。 在花园淋浴和必要组件的帮助下，它变成了对抗辐射污染的有效手段。 "
