"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJECORE_PIS_BLOOD_CRIT","Critically low blood levels","Critically low blood levels","Kriticky nízká hladina krve","Kritisch niedrige Blutwerte","Критично низький рівень у крові","Krytycznie niski poziom krwi","Kritikusan alacsony vérszint","Livelli ematici criticamente bassi","Niveles sanguíneos críticamente bajos","Taux sanguin extrêmement bas","血液水平低極低","血中濃度が非常に低い","Níveis sanguíneos extremamente baixos","血液浓度极低"
"STR_TERJECORE_PIS_BLOOD_LOW","Low blood levels","Low blood levels","Nízká hladina krve","Niedriger Blutspiegel","Низький рівень у крові","Niski poziom krwi","Alacsony vérszint","Bassi livelli ematici","Niveles bajos de sangre","Faible taux sanguin","血液水平低","低血中濃度","Baixos níveis sanguíneos","血液浓度低"
"STR_TERJECORE_PIS_BLOOD_WARN","The blood level is below normal","The blood level is below normal","Hladina krve pod normálem","Der Blutspiegel ist niedriger als normal","Рівень у крові нижчий за норму","Poziom krwi poniżej normy","A vérszint a normál alatt van","Livelli ematici inferiori al normale","Niveles de sangre por debajo de lo normal","Taux sanguin inférieur à la normale","血液水平低於正常範圍","血中濃度は正常以下です","Níveis sanguíneos abaixo do normal","血液浓度水平低于正常水平"
"STR_TERJECORE_PIS_BBONES","Fractures","Fractures","Zlomenina","Frakturen","Переломи","Złamanie","Törések","Fratture","Fracturas","Fractures","骨折","骨折","Fratura","骨折"
"STR_TERJECORE_PIS_BBONES_LEGS","Closed bone fracture in one of the legs","Closed bone fracture in one of the legs","Uzavřená zlomenina kosti v jedné z nohou","Geschlossener Knochenbruch in einem der Beine","Закритий перелом кістки однієї з ніг","Zamknięte złamanie kości w jednej z nóg","Zárt csonttörés az egyik lábon","Frattura ossea chiusa in una delle gambe","Fractura de hueso cerrada en una de las piernas","Fracture osseuse fermée dans l'une des jambes","一條腿閉合性骨折","片方の脚の閉じた骨折","Fratura óssea fechada em uma das pernas","一条腿闭合性骨折"
"STR_TERJECORE_PIS_INCUBATION","Incubation period (without symptoms of the disease)","Incubation period (without symptoms of the disease)","Inkubační doba (bez příznaků onemocnění)","Inkubationszeit (ohne Krankheitssymptome)","Iнкубаційний період (без симптомів хвороби)","Okres inkubacji (bez objawów choroby)","Inkubációs időszak (a betegség tünetei nélkül)","Periodo di incubazione (senza sintomi di malattia)","Período de incubación (sin síntomas de enfermedad)","Période d'incubation (sans symptômes)","潛伏期（無症狀階段）","潜伏期間（病気の症状なし）","Período de incubação (sem sintomas)","潜伏期（无症状阶段"
"STR_TERJECORE_COND_SP","Available to a limited list of players","Available to a limited list of players","K dispozici omezený seznam hráčů","Für eine begrenzte Anzahl von Spielern verfügbar","Доступно обмеженому колу гравців","Dostępna dla ograniczonej listy graczy","Korlátozott számú játékos számára elérhető","Disponibile per un elenco limitato di giocatori","Disponible para una lista limitada de jugadores","Disponible pour une liste limitée de joueurs","提供给有限的玩家名单","プレイヤーの限られたリストに利用可能","Disponível para uma lista limitada de jogadores","提供给有限的玩家名单"
"STR_TERJECORE_COND_TM","Timeout (active): ","Timeout (active): ","Časový limit (aktivní): zbývá ","Timeout (aktiv): Noch ","Тайм-аут (активний):","Timeout (active): pozostało ","Időkorlát (aktív): ","Timeout (attivo): ","Tiempo de espera (activo): quedan ","Délai d'expiration (actif): ","超时（活动）：还剩","タイムアウト（アクティブ）：残り","Tempo limite (ativo): ","超时（活动）：还剩"
"STR_TERJECORE_SECOND","seconds","seconds","sekundy","Sekunden","секунд","chwila","másodperc","seconde","segundas","secondes","秒数","秒","segundo","秒数"
"STR_TERJECORE_MINUTES","minutes","minutes","minut","Minuten","хвилин","chwila","jegyzőkönyv","minuti","minutos","min","分钟","議事録","minuto","分钟"
"STR_TERJECORE_HOURS","hours","hours","doba","Stunden","години","godziny","órák","ora","horas","heures","工作时数","営業時間","horas","工作时数"
"STR_TERJECORE_COND_TM2","Timeout:","Timeout:","Timout:","Abklingzeit:","Тайм-аут:","Timeout:","Időtúllépés:","Timeout:","Tiempo de espera:","Timeout:","超时时间:","タイムアウト:","Tempo limite:","超时时间:"
"STR_TERJECORE_DAYS","days","days","dno","Days","днів","dni","napok","giorno","días","jours","天数","日","dias","天数"
"STR_TERJECORE_METERS","meters","meters","metrů","Meter","метрів","metr","méter","metro","metros","mètres","米","メーター","metro","米"
"STR_TERJECORE_KILOMETERS","kilometers","kilometers","kilometrů","Kilometer","кілометрів","kilometrów","kilométer","chilometri","kilómetros","kilomètres","公里数","キロ","quilómetro","公里数"
"STR_TERJECORE_COND_SKILL","skill level","skill level","úroveň dovedností","skill-Level","рівень майстерності","poziom umiejętności","képzettségi szint","livello di abilità","nivel de habilidad","niveau de compétence","技能水平","スキルレベル","nível de habilidade","技能水平"
"STR_TERJECORE_COND_PERK","perk level","perk level","úroveň perku","das niveau des Perks","рівень перку","poziom profitu","perk szint","livello di vantaggio","nivel de beneficio","niveau d'avantage","振作水平","特典レベル","nível de vantagem","振作水平"
"STR_TERJECORE_COND_REQ","Requires","Requires","Vyžadovat","Erforderlich","Потребує","Potrzebnym","Szükséges","Cercasi","Necesario","Se demander","是必需的","が必要です","Exigir","是必需的"
"STR_TERJECORE_CRAFT_BLOCK","Failed to craft","Failed to craft","Nelze vytvořit","Konnte nicht erstellt werden","Не вдалося створити","Nie można utworzyć","Nem sikerült létrehozni","Impossibile creare","No se pudo crear","Impossible de créer","创建失败","作成に失敗しました","Não foi possível criar","创建失败"
