"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEMED_AMOXICLAV","Amoxiclav","Amoxiclav","Amoxiclav","Amoxiclav","Амоксиклав","Amoxiclav","Amoxicillin","Amoxiclav","Amoxiclav","Amoxiclav","Amoxiclav","アモキシクラブ","Amoxiclav","阿莫昔拉夫",
"STR_TERJEMED_PIPERACYLIN","Piperacillin","Piperacillin","Piperacilin","Piperacil","Пиперацилин","Piperacylina","Piperacillin","Piperacilina","Piperacilina","Pipéracilline","Piperacillin","ピペラシリン","Piperacilina","哌拉西林",
"STR_TERJEMED_AMIBAKTAM","Amibactam","Amibactam","Amibaktam","Amibactam","Амибактам","Amibaktam","Amibaktám","Amibactam","Amibactam","Amibactam","Amibactam","アミバクタム","Amibactam","阿米巴坦",
"STR_TERJEMED_POLISORB","Polysorb","Polysorb","Polysorb","Polysorb","Полисорб","Polisorb","Polysorb","Polysorb","Polysorb","Polysorb","Polysorb","ポリソルブ","Polysorb","多聚体,多聚体",
"STR_TERJEMED_MESALAZIN","Mesalazine","Mesalazine","Mesalazin","Mesalazin","Месалазин","Mesalazyna","Mezalazin","Mesalazina","Mesalazina","Mésalazine","Mesalazine","メサラジン","Mesalazina","美沙拉嗪",
"STR_TERJEMED_FTALAZOL","Phthalazole","Phthalazole","Ftalazol","Phthalazol","Фталазол","Ftalazol","Ftalazol","Ftalazolo","Ftalazol","Phthalazole","Phthalazole","フタラゾール","Ftalazol","邻苯二甲唑",
"STR_TERJEMED_NOOPEPT","Noopept","Noopept","Noopept","Noopept","Ноопепт","Noopept","Noopept","Noopept","Noopept","Noopept","Noopept","ヌーペプト","Noopept","Noopept",
"STR_TERJEMED_VIKASOL","Vikasol","Vikasol","Vicasol","Vikasol","Викасол","Vikasol","Vikaszol","Vikasol","Vicasol","Vikasol","Vikasol","ヴィカソル","Vikasol","维卡索尔",
"STR_TERJEMED_IROVIT","Irovit","Irovit","Irovit","Irovit","Ировит","Irovit","Irovit","Irovit","Irovit","Irovit","Irovit","アイロビット","Irovit","伊罗维特",
"STR_TERJEMED_POTASIUM_IODIDE","Potassium Iodide","Potassium Iodide","jodid","Kaliumiodid","Йодид калия","Jodek Potasu","Kálium-Jodid","Ioduro di potassio","Yoduro de Potasio","Iodure de Potassium","Potassium Iodide","ヨウ化カリウム","Iodeto De Potássio","碘化钾",
"STR_TERJEMED_HEXACYANOFERRATE","Hexacyanoferrate","Hexacyanoferrate","Hexakyanoferát","Hexacyanoferrat","Гексацианоферрат","Heksacjanożelazinian","Hexacianoferrát","Esacianoferrato","Hexacianoferrato","Hexacyanoferrate","Hexacyanoferrate","ヘキサシアノ鉄","Hexacianoferrato","六氰铁酸盐",
"STR_TERJEMED_MEXAMINE","Mexamine","Mexamine","Mexamin","Mexamin","Мексамин","Mexamine","Mexamin","Mexamina","Mexamina","Mexamine","Mexamine","メキサミン","Mexamina","墨西哥胺",
"STR_TERJEMED_AGTEMINOL","Agteminol","Agteminol","Agteminol","Agteminol","Агтеминол","Agteminol","Agteminol","Agteminolo","Agteminol","Agteminol","Agteminol","アグテミノール","Agteminol","阿格替米诺",
"STR_TERJEMED_VANLAFAXINE","Venlafaxine","Venlafaxine","Venlafaxin","Venlafaxin","Венлафаксин","Wenlafaksyna","Venlafaxin","Venlafaxina","Venlafaxina","Venlafaxine","Venlafaxine","ベンラファキシン","Venlafaxina","文拉法辛",
"STR_TERJEMED_ROMBIOPENTAL","Rombiopental","Rombiopental","Rombiopental","Rombiopental","Ромбиопентал","Rombiopental","Rombiopental","Rombiopental","Rombiopental","Rombiopental","Rombiopental","ロンビオペンタール","Rombiopental","隆陇Rombiopental",
"STR_TERJEMED_CYANIDE","Potassium cyanide","Potassium cyanide","Kyanid draselný","Kaliumcyanid","Цианистый калий","Cyjanek potasu","Kálium-cianid","Cianuro di potassio","Cianuro de potasio","Cyanure de potassium","氰化钾","シアン化カリウム","Cianeto de potássio","氰化钾",
"STR_TERJEMED_ARSENIC","Arsenic","Arsenic","Arsen","Arsenik","Мышьяк","Arsen","Arzén","Arsenico","Arsénico","Arsenic","砷","ヒ素","Arsénio","砷",
"STR_TERJEMED_IVERSAN","Iversan","Iversan","Iversan","Iversan","Иверсан","Iversan","Iversan","Iversan","Iversan","Iversan","艾弗森","イヴェルサン","Iversan","艾弗森",
